LANGUAGE	BY_HUMANS_ALLTIME	BY_HUMANS_2022	RATIO_2022
nds	0.4205765161019358	0.991304347826087	0.0066619960281469335
lb	0.3549816555147519	0.8016987431264729	0.017467997921129862
fy	0.5326123946005218	1.0	0.02982064758447713
sco	0.4893951956931877	0.5544566850275413	0.023997500510712956
als	0.5945805083809986	0.9977582846003898	0.02265851019191272
bar	0.6043355325164939	0.7875228399895589	0.015364870555678103
frr	0.6900459537347146	0.8897092059665511	0.08615676194926915
yi	0.36476048456009247	0.9959045584045584	0.023524286647789154
li	0.31064873376874824	0.6257246376811594	0.014249941915997625
fo	0.3531418434877533	0.9796033994334278	0.010035023083395874
vls	0.3491422560284836	0.6742344244984161	0.015326104547661434
nds-nl	0.30425879164870356	0.5398860398860399	0.01621297037630104
zea	0.3709308914112336	0.9450969680415187	0.06691524556304948
stq	0.29817586529466794	0.7567567567567568	0.006798743819323801
ksh	0.29651768263977063	0.9912917271407837	0.01965847325848467
pfl	0.549124500206811	0.6630824372759857	0.007693368261409072
pdc	0.2306579898770788	0.9009009009009009	0.005016268980477224
en	0.7865635059638713	0.8410859499409649	0.062131602462499005
de	0.8398997163495953	0.8843016360515672	0.045743202538490485
nl	0.5364095605536076	0.5016482411797882	0.0545079533699847
da	0.5128836901513878	0.5178183528606859	0.045303197840882055
is	0.40623148736435644	0.6777486794797816	0.028456881426923958
